scope	country	zone	w_from	w_to	price
DE	Deutschland	9	1200.01	1300	166.92
DE	Deutschland	9	1300.01	1400	177.33
DE	Deutschland	9	1400.01	1500	186.52
DE	Deutschland	9	1500.01	1600	197.91
DE	Deutschland	9	1600.01	1700	207.01
DE	Deutschland	9	1700.01	1800	217.66
DE	Deutschland	9	1800.01	1900	226.76
DE	Deutschland	9	1900.01	2000	237.51
DE	Deutschland	9	2000.01	2100	248.16
DE	Deutschland	9	2100.01	2200	257.75
DE	Deutschland	9	2200.01	2300	268.11
DE	Deutschland	9	2300.01	2400	278.91
DE	Deutschland	9	2400.01	2500	287.86
DE	Deutschland	9	2500.01	3000	334.61
DE	Deutschland	9	3000.01	3500	380.64
DE	Deutschland	9	3500.01	4000	432.84
DE	Deutschland	9	4000.01	4500	484.99
DE	Deutschland	9	4500.01	5000	527.27
DE	Deutschland	10	0.01	30	33.42
DE	Deutschland	10	1	2	12
DE	Deutschland	10	30.01	50	36.2
DE	Deutschland	10	50.01	100	40.33
DE	Deutschland	10	100.01	150	45.73
DE	Deutschland	10	150.01	200	56.14
DE	Deutschland	10	200.01	300	79.98
DE	Deutschland	10	300.01	400	81.63
DE	Deutschland	10	400.01	500	83.73
DE	Deutschland	10	500.01	600	94.48
DE	Deutschland	10	600.01	700	105.96
DE	Deutschland	10	700.01	800	117.73
DE	Deutschland	10	800.01	900	129.12
DE	Deutschland	10	900.01	1000	140.11
DE	Deutschland	10	1000.01	1100	149.6
DE	Deutschland	10	1100.01	1200	160.3
DE	Deutschland	10	1200.01	1300	171.44
DE	Deutschland	10	1300.01	1400	181.95
DE	Deutschland	10	1400.01	1500	191
DE	Deutschland	10	1500.01	1600	202.53
DE	Deutschland	10	1600.01	1700	211.58
DE	Deutschland	10	1700.01	1800	222.28
DE	Deutschland	10	1800.01	1900	231.28
DE	Deutschland	10	1900.01	2000	242.13
DE	Deutschland	10	2000.01	2100	253.03
DE	Deutschland	10	2100.01	2200	262.71
DE	Deutschland	10	2200.01	2300	273.17
DE	Deutschland	10	2300.01	2400	284.07
DE	Deutschland	10	2400.01	2500	292.92
DE	Deutschland	10	2500.01	3000	340.45
DE	Deutschland	10	3000.01	3500	385.99
DE	Deutschland	10	3500.01	4000	438.58
DE	Deutschland	10	4000.01	4500	491.12
DE	Deutschland	10	4500.01	5000	533.79
EU	Frankreich	1	0.01	50	26.85
EU	Frankreich	1	50.01	100	38.82
EU	Frankreich	1	100.01	150	55.07
EU	Frankreich	1	150.01	200	71.42
EU	Frankreich	1	200.01	300	106.06
EU	Frankreich	1	300.01	400	141.18
EU	Frankreich	1	400.01	500	176.11
EU	Frankreich	1	500.01	600	191.68
EU	Frankreich	1	600.01	700	223.21
EU	Frankreich	1	700.01	800	254.54
EU	Frankreich	1	800.01	900	285.87
EU	Frankreich	1	900.01	1000	317
EU	Frankreich	1	1000.01	1100	323.52
EU	Frankreich	1	1100.01	1200	333.74
EU	Frankreich	1	1200.01	1300	360.98
EU	Frankreich	1	1300.01	1400	387.74
EU	Frankreich	1	1400.01	1500	414.98
EU	Frankreich	1	1500.01	1600	441.74
EU	Frankreich	1	1600.01	1700	468.5
EU	Frankreich	1	1700.01	1800	495.26
EU	Frankreich	1	1800.01	1900	521.53
